"code","name","address","phone","email","contact_name","contact_phone","payment_method_id","departament_id","town_id","prefix_origin","seller_id"
"XCO-62","HINESA, HIDRAULICA Y NEUMATICA S,A.","AV PETAPA 29-32 ZONA 12, GUATEMALA","22235696","","N/A","0","1","1","1","CAP","4"
"XCO-63","CORPORACION ABINSA","AV PETAPA 29-42 ZONA 12","22235656","","N/A","0","1","1","1","CAP","4"
"XCO-64","AUTOHAUS","10AVENIDA 33-40  ZONA 11 COL. LAS CHARCAS","24983535","","N/A","0","1","1","1","CAP","4"
"XCO-65","SERVI-REPUESTOS S,A.","C.C. ATANASIO TZUL LOCAL 149 ZONA 12","24776935","","N/A","0","1","1","1","CAP","4"
"XCO-66","INNOVA MOTORS","AV PETAPA 29-24 ZONA 12","24424848","","N/A","0","1","1","1","CAP","4"
"XCO-67","AUDIO MARCAS S,A.","45 CALLE 16-47 ZONA 12 BOD 12, GUATEMALA","23127272","","N/A","0","1","1","1","CAP","4"
"XEL-68","LA LIBRERIA.COM// VICTOR HUGO MORALES","22 AV   3-51  ZONA 3 EDIF. EUROPA 1 ER NIVEL, QUETZALTENANGO","77650153 - 58256707","","N/A","0","3","1","1","CAP","4"
"GUA-69","KLIMP AMERICA","15 AV  6-51  ZONA 11 COL. CARABANCHEL","2214-3030","","N/A","0","3","1","1","CAP","4"
"PRE-71","CALZADO RANDALL","TOTONICAPAN","4399-7201","","EDGAR GUTIERREZ","0","4","1","1","CAP","3"
"GUA-72","COMERCIALIZADORA SUMISA","CALZ ROOSEVELTH 7-38 ZONA 11 COL EL TESORO MIXCO, GUATEMALA","22930096","","N/A","0","3","1","1","CAP","4"
"XCO-73","RODHERSA","33 AV 3-17  ZONA 4 MIXCO BOSQUES DE SAN NICOLAS, GUATEMALA","24360351","","N/A","0","1","1","1","CAP","4"
"MAZ-74","SURTIPLAST","2AV  8-73 ZONA 1 MAZATENANGO","78822960","","N/A","0","3","1","1","CAP","4"
"GUA-75","INDUSTRIAS DE PRODUCTOS Y SERVICIOS S,A. (VENTAS)","17AV 49-6+0  ZONA 12, GUATEMALA","23806950","","N/A","0","3","1","1","CAP","4"
"GUA-76","MAYA¿B","11 AV 24-71 ZONA 12 APTO B COL REFORMITA, GUATEMALA","2476-8257","","N/A","0","3","1","1","CAP","4"
"XCO-77","IMPORTACIONES CRESGO S,A.","CALZ LA PAZ 18-40 ZONA 5, OFIBODEGAS CENTRO 5 BOD 18","22108000","","N/A","0","1","1","1","CAP","4"
"CON-78","INDUSTRIAS DEL COLOR S,A.","10 AV 2505 ZONA 13","24981616","","N/A","0","2","1","1","CAP","4"
"CON-79","MYTEC","3 AV  10-90 ZONA 9, GUATEMALA","23036161","","N/A","0","2","1","1","CAP","4"
"XCO-80","MYTEC","3 AV 10-90  ZONA 9, GUATEMALA","23036161","","N/A","0","1","1","1","CAP","4"
"XCO-81","MULTINEGOCIOS GENERALES S,A.","CALZ AGUILAR BATRES 34-77 ZONA 12 C.C. LA CORUÐA BODEGA 4","23141515","","N/A","0","1","1","1","CAP","1"
"XCO-83","TORNILLOS BISAURI S,A.","6 AVE 6-40 ZONA 4","2331-6938","","N/A","0","1","1","1","CAP","4"
"XCO-84","PRO PARTS","6 AVE 2-16 ZONA 9","2324-4141","","N/A","0","1","1","1","CAP","4"
"XCO-85","AUTO REPUESTOS 911","4 CALLE 0-20  ZONA 9, CIUDAD","23320143","","N/A","0","1","1","1","CAP","4"
"XCO-87","SOLPRO","9 AV 3-48  ZONA 4","23179000","","N/A","0","1","1","1","CAP","2"
"XCO-89","BODECO","BLVD EL NARANJO 28-98 ZONA 3 MIXCO, BOD 2","25058905","","N/A","0","1","1","1","CAP","4"
"GUA-88","MARCAS MUNDIALES, S,A.","2 CALLE 1-96 ZONA 8 BRISAS DE GERONA, SAN MIGUEL PETAPA","23108282","","N/A","0","3","1","1","CAP","4"
"XCO-90","MO AUTO (CAMPO MARTE)","1 CALLE  2-81  ZONA 10 ESQUINA CAMPO MARTE","2381-5555","","N/A","0","1","1","1","CAP","4"
"XCO-91","MO AUTO (PROCERES)","18 CALLE  10-23  ZONA 10","23815353","","N/A","0","1","1","1","CAP","4"
"XCO-92","MO AUTO (ZONA 9)","4 CALLE 5-17  ZONA 9","2381-5252","","N/A","0","1","1","1","CAP","4"
"XCO-93","MO AUTO (CARROS)","4 CALLE 5-36  ZONA 9","2381-5252","","N/A","0","1","1","1","CAP","4"
"XCO-94","ALMELSA S,A.","KM  19.5 CARR AL PACIFICO COMPLEJO BOD VILLA NUEVA BOD 8","2300-2100","","N/A","0","1","1","1","CAP","4"
"CON-95","ALMELSA ,S.A","KM 19.5 CARR AL PACIFICO COMPLENO BODEGAS VILLA NUEVA BOD 8","2300-2100","","N/A","0","2","1","1","CAP","4"
"XCO-96","IMEXA S,A.","15AV 12-08 ZONA 6","22543257","","N/A","0","1","1","1","CAP","4"
"CON-97","IMEXA S,A.","15AV 12-08 ZONA 6","2254-3257","","N/A","0","2","1","1","CAP","4"
"XCO-98","FLECHAS ALVAREZ ,S.A","35CALLE  10-24  ZONA 8","30317833","","N/A","0","1","1","1","CAP","4"
"CON-99","FLECHAS ALVAREZ S,A.","35 CALLE 10-24  ZONA 8","30317833","","N/A","0","2","1","1","CAP","4"
"XCO-100","EIKO S,A.","27 CALLE 2-75 ZONA 6 DE MIXCO, GUATEMALA","2431-5434","","N/A","0","1","1","1","CAP","4"
"CON-102","LLANTAS TOTAL S,A.","28 CALLE B 8-20 ZONA 8","2503-1515","","N/A","0","2","1","1","CAP","4"
"XCO-103","REFACCIONARIA SAN CARLOS","29 CALLE 5-90 ZONA 12","2243-1700","","N/A","0","1","1","1","CAP","4"
"CON-104","REFACCIONARIA SAN CARLOS","29 CALLE  5-90  ZONA 12","2243-1700","","N/A","0","2","1","1","CAP","4"
"XCO-105","REPASA","0AV 23-13 ZONA 17 CALZ LA PAZ CENTRO DE NEGOCIOS LA PAZ OFIBOD402","2382-9700","","N/A","0","1","1","1","CAP","4"
"CON-106","REPASA","0AV 23-13 ZONA 17 CALZ LA PAZ CENTRO DE NEGOCIOS LA PAZ OFIBOD 402","2382-9700","","N/A","0","2","1","1","CAP","4"
"CON-108","VITATRAC S,A.","CALZ ROOSEVELTH 36-59 ZON 11","2323-6000","","N/A","0","2","1","1","CAP","1"
"XCO-109","DIMAPA","2AV  4-06 ZONA 3 COL ULISES ROJAS VILLA NUEVA","6610-2773","","N/A","0","1","1","1","CAP","4"
"CON-110","DIMAPA","2AV 4-06 ZONA 3 COL ULISES ROJAS, VILLA NUEVA","6610-2773","","N/A","0","2","1","1","CAP","4"
"XCO-111","EMOTION INTERNATIONAL COMPANY S,A.","CARR AMATITLAN ZONA 11 COL CASTAÐAS VILLA NUEVA","2477-3550","","N/A","0","1","1","1","CAP","4"
"CON-112","EMOTION INTERNATIONAL COMPANY S,A.","KM 11.5 CARR AMATITLAN ZONA 11 COL CASTAÐAS, VILLA NUEVA","2477-3550","","N/A","0","2","1","1","CAP","4"
"XCO-113","TECNIAGRO INDUSTRIAL","LOTE 9 SEC F PARQUE DE LA INDUSTRIA KM 34.5 PALIN, ESCUINTLA","5329-9313","","N/A","0","1","1","1","CAP","4"
"CON-114","TECNIAGRO INDUSTRIAL","LOTE 9 SEC F PARQUE DE LA INDUSTRIA KM 345 PALIN, ESCUINTLA","5329-9313","","N/A","0","2","1","1","CAP","4"
"XCO-115","GMP INTERNACIONAL S,A.","AV PETAPA 25-25 BO 10 ZONA 12","2387-0909","","N/A","0","1","1","1","CAP","4"
"CON-116","GMP INTERNACIONAL","AV PETAPA 25-25 BOD 10 ZONA 12","2387-0909","","N/A","0","2","1","1","CAP","4"
"CON-120","EIKO S,A.","27 CALLE 2-75 ZONA 6 DE MIXCO, GUATEMALA","2431-5434","","N/A","0","2","1","1","CAP","4"
"XCO-121","IMRECAR","8 CALLE A 15-16 RESI TERRANOVA ZONA 6 DE VILLA NUEVA","56113342","","N/A","0","1","1","1","CAP","4"
"CON-122","IMRECAR","8 CALLE A 15-16 RESI TERRANOVA ZONA 6 VILLA NUEVA","56113342","","N/A","0","2","1","1","CAP","4"
"XCO-123","ALMACEN LA ECONOMICA","8 CALLE 10-53  ZONA 1, GUATEMALA","2312-000","","N/A","0","1","1","1","CAP","4"
"CON-124","ALMACEN LA ECONOMICA","8 CALLE 10-53 ZONA 1. GUATEMALA","2312-0000","","N/A","0","2","1","1","CAP","4"
"XCO-101","LLANTAS TOTAL S,A.","28 CALLE B 8-20 ZONA 8, GUATEMALA","2503-1515","","N/A","0","1","1","1","CAP","4"
"XCO-117","COMERCIALIZADORA OM","CALLE ACEITUNO LOTE 7 ZONA 17 GUATEMALA GUATEMALA","3053-8521","","N/A","0","1","1","1","CAP","4"
"CON-118","COMERCIALIZADORA OM","CALLE ACEITUNO LOTE 7 ZONA 17 GUATEMALA GUATEMALA","3053-8521","","N/A","0","2","1","1","CAP","4"
"XCO-119","INDUPARTS ,S.A","CALZ AGUILAR BATRES 45-32 ZONA 11, GUATEMALA","2423-8400","","N/A","0","1","1","1","CAP","4"
"CON-127","INDUPARTS S,A.","CALZ AGUILAR BATRES 45-32 ZONA 11, GUATEMALA","2423-8400","","N/A","0","2","1","1","CAP","4"
"XCO-128","AUTO SERVICIOS EL VIAJERO ,S.A","7AV 27-22 ZONA 8, GUATEMALA","2428-6100","","N/A","0","1","1","1","CAP","4"
"CON-129","AUTO SERVICIOS EL VIAJERO S,A.","7AV 27-22 ZONA 8, GUATEMALA","2428-6100","","N/A","0","2","1","1","CAP","4"
"XCO-130","GIRK S,A.","CALZ ATANASIO TZUL 22-00 CONRTIJO 2 BOD 204 ZONA 12","2462-6349","","N/A","0","1","1","1","CAP","4"
"CON-131","GIRK S,A.","CALZ ATANASIO TZUL 22-00 CORTIJO 2 BOD 204, ZONA 12","2462-6349","","N/A","0","2","1","1","CAP","4"
"XCO-132","NUTRIRECIPIENTES ,S.A","8 CALLE 6-33 ZONA 4, GUATEMALA","2429-7000","","N/A","0","1","1","1","CAP","4"
"CON-133","NUTRIRECIPIENTES ,S.A","8 CALLE 6-33 ZONA 4, GUATEMALA","2429-7000","","N/A","0","2","1","1","CAP","4"
"XCO-134","EBULLIENT INTERNACIONAL S,A.","27AV 7-14 ZONA 4 DE MIXCO EL NARANJO, GUATEMALA","2269-0043","","N/A","0","1","1","1","CAP","4"
"CON-135","EBULLIENT INTERNACIONAL S,A.","27AV 7-14 ZONA 4 DE MIXCO EL NARANJO, GUATEMALA","2269-0043","","N/A","0","2","1","1","CAP","4"
"XCO-136","AUTO PARTES DE GUATEMALA S,A.","6AV 3-25 ZONA 9, GUATEMALA","2423-4723","","N/A","0","1","1","1","CAP","4"
"CON-137","AUTO PARTES DE GUATEMALA S,A.","6AV  3-25 ZONA 9, GUATEMALA","2423-4723","","N/A","0","2","1","1","CAP","4"
"XCO-138","SOLARSA","3AV 5-05 ZONA 9, GUATEMALA","2360-2035","","N/A","0","1","1","1","CAP","4"
"CON-139","SOLARSA","3 AV 5-05 ZONA 9, GUATEMALA","2360-2035","","N/A","0","2","1","1","CAP","4"
"XCO-140","DISIM","CALZ AGUILAR BATRES 7-61 ZONA 11, CIUDAD CAPITAL","2505-8310","","N/A","0","1","1","1","CAP","4"
"XCO-141","AEC REPUESTOS","ANILLO PERIFERICO 18-69 ZONA 11","2214-6999","","N/A","0","1","1","1","CAP","4"
"XCO-142","SERVIPARTES","LOTE 38 MANZ E COL VILLAS DEL ROSARIO ZONA 4 MIXCO, GUATEMALA","2431-2596","","N/A","0","1","1","1","CAP","4"
"XCO-143","SUZUKI S,A.","6AV 6-85 ZONA 4 CIUDAD CAPITAL","23316321","","N/A","0","1","1","1","CAP","4"
"XCO-146","TECNIDESA","CALZ ATANASIO TZUL CORTIJO 2, BOD 311","2442-7013","","N/A","0","1","1","1","CAP","4"
"XCO-147","GIRK, S,A.","CALZ ATANASIO TZUL 22-00 ZONA 12, EL CORTIJO 2 BOD 204 Y 309","2476-9709","","N/A","0","1","1","1","CAP","4"
"XCO-148","A.E.C REPUESTOS S,A.","ANILLO PERIFERICO 18-37 ZONA 11","2472-7794","","N/A","0","1","1","1","CAP","4"
"XCO-149","IMPORTACIONES CRESGO, S,A.","23 AVENIDA INTERCONEXIËN NARANJO-MINERVAS 12-91 ZONA 4 DE MIXCO, GUATEMALA.","41996811","","JEFTHE RIVAS","0","1","1","1","CAP","3"
"XCO-150","TECNOLOGIA DELTA","13 CALLE 1-51 ZONA 10 TORRE 2 SANTA CLARA OFI. 23","2361-2536","","N/A","0","1","1","1","CAP","4"
"XCX-144","FERROMAQUINAS","DIAGONAL  7-46 ZONA 5 QUETZALTENANGO","0","","N/A","0","1","1","1","CAP","3"
"XCX-145","CENTRO FRENERO","7AV  10-69  ZONA 5 QUETZALTENANGO","0","","N/A","0","1","1","1","CAP","4"
"XCX-151","TECNIDESA, S,A.","2 CALLE  6-72 ZONA 2 QUETZALTENANGO","7763-0156 /60/67","","N/A","0","1","1","1","CAP","4"
"XCO-152","LEXUS EDITORES DE GUATEMALA","CORTIJO 2  22-00 BOD B-315","2476-3815 //16","","N/A","0","1","1","1","CAP","4"
"GUA-153","RODAMIENTOS DE CENTROAMERICA S,A.","6AV A 1-12 ZONA 2 COL EL TESORO MIXCO, GUATEMALA","2250-3060","","N/A","0","3","1","1","CAP","4"
"XCO-154","AGRINOVA","BODEGAS CORTIJO 1 BOD 604ZONA 12","2462-6509","","N/A","0","1","1","1","CAP","4"
"XCO-155","REPRESENTACIONES MOREL","10 CALLE 3-55 ZONA 1","2232-1554","","N/A","0","1","1","1","CAP","4"
"XCO-156","DISTRIBUIDORA HERMANOS COPHER","ANILLO PERIFERICO  3-00 ZONA 3","2246-7777","","N/A","0","1","1","1","CAP","4"
"XCO-49","TELAS LAFAYETTE DE GUATEMALA S,A.","20 CALLE  26-30 ZONA 10, CIUDAD CAPITAL","2318-0200","","N/A","0","1","1","1","CAP","4"
"XCJ-157","DISTRIBUIDORA DE AUTO PARTES M Y G","2AV 3-25  ZONA 2 JALAPA","0","","N/A","0","1","1","1","CAP","3"
"GUA-158","INDUSTRIAS DE LA RIVA, S,A.","9 AV 10-34 ZONA 1","2410-4071","","N/A","0","3","1","1","CAP","4"
"XCO-159","REALMEN S,A.","28 CALLE 7-03 ZONA 11 COL GRANAII TOWNSON","2206-2828","","N/A","0","1","1","1","CAP","4"
"GUA-160","ROLLOS Y MAS S,A.","7 CALLE  3-24 ZONA 18 COND INTERBODEGAS OFIBODEGA 26","2267-0834","","N/A","0","3","1","1","CAP","4"
"XCO-162","NEOMOTO","14 CALLE 4-43 ZONA 1","2220-5364","","N/A","0","1","1","1","CAP","4"
"XCO-163","AUTO CENTER","CALZ SAN JUAN  10-28 ZONA 3 DE MIXCO, GUATEMALA","24326215","","N/A","0","1","1","1","CAP","4"
"XCO-164","EL MOTORISTA AUTOMOTRIZ","CALZ SAN JUAN 11-66 ZONA 3 DE MIXCO, GUATEMALA","2464-9913","","N/A","0","1","1","1","CAP","4"
"CON-165","SERVIPARTES","LOTE 38 MANZ E COL VILLAS DEL ROSARIO ZONA 4 MIXCO, GUATEMALA","2431-2596","","N/A","0","2","1","1","CAP","4"
"XCO-166","YUMMY FOOD S,A.","3RA. AVENIDA 0-54 ZONA 13 PAMPLONA","2220-6129","","N/A","0","1","1","1","CAP","4"
"XCO-167","A.E.C.","ANILLO PERIFERICO 18-37 ZONA 11, GUATEMALA","2214-6999","","N/A","0","1","1","1","CAP","3"
"XCO-168","PROTECCION SOLAR LA TORRE","2 CALLE 6-31  ZONA 9 LOCAL A","22679777","","N/A","0","1","1","1","CAP","4"
"XCO-169","SOLAR FILM","7 AV 1-52  ZONA 9 CIUDAD CAPITAL","2308-5969","","N/A","0","1","1","1","CAP","4"
"XCO-170","AUTO REPUESTOS J.C","5 AV 32-71 ZONA 3, CIUDAD CAPITAL","2240-2298","","N/A","0","1","1","1","CAP","4"
"XCO-171","EL PORTAL DE LAS PRENDAS AMERICANAS","0AV EL PROGRESO, JUTIAPA","7843-4430","","N/A","0","1","1","1","CAP","3"
"CON-172","EL PORTAL DE LAS PRENDAS AMERICANAS","0 AV EL PROGRESO, JUTIAPA","5946-6160","","N/A","0","2","1","1","CAP","4"
"VD3-6862","FORMULARIOS STANDARD, S,A.","1  CALLE 35-39 ZONA 11 COL. TOLEDO","2423-8900","","ANA MARIA ARDON","0","3","1","1","CAP","1"
"XCO-173","LA PALABRA BOOKSTORE","7 CALLE 17-41  ZONA 3 QUETZALTENANGO","7763-7210  /// 7767-4494","","N/A","0","1","1","1","CAP","3"
"XCO-174","COMERCIAL RG","SAN FRANCISCO EL ALTO, TOTONICAPAN","0","","N/A","0","1","1","1","CAP","3"
"XEL-175","DROGUERIA Y DISTRIBUIDORA VISION PAC RIVERA, S,A.","40AV A 2-66 ZONA 8 COL EL MAESTRO, QUETZALTENANGO","7776-0693 / 7766-9081","","N/A","0","3","1","1","CAP","3"
"XCO-176","DIGIMUNDO","18 CALLE 10-50  ZONA 10 C.C. PLAZA LA VILLA","23632568 / 78","","N/A","0","1","1","1","CAP","4"
"CON-177","DIGIMUNDO","18 CALLE 10-50  ZONA 10 C.C. PLAZA LA VILLA","23632568 / 78","","N/A","0","2","1","1","CAP","4"
"XCO-178","SURTIPARTES","33 CALLE 9-06  ZONA 8","24714912 / 47701971","","N/A","0","1","1","1","CAP","4"
"XCO-179","KAT SIM  IMPORTACIONES","5 AV 1-44  ZONA 3 EL PROGRESO, JUTIAPA","4245-9533","","N/A","0","1","1","1","CAP","3"
"XCO-180","ANA PAZ","19 AV  8-69  ZONA 15","4569-8403","","N/A","0","1","1","1","CAP","4"
"XCO-181","RELOJES 60 SEGUNDOS","19 CALLE 1-53 ZONA 1","2309-9944","","N/A","0","1","1","1","CAP","4"
"XCO-182","HENRRY`S DISTRIBUTION","MANZ B LOTE 21 ZONA 4 DE MIXCO","3023-3202","","N/A","0","1","1","1","CAP","4"
"XCO-183","EL MUNDO DEL BILLAR","9AV 17-78  ZONA 7 DE MIXCO","2435-4421","","N/A","0","1","1","1","CAP","4"
"XCO-185","PRODUCTOS HIDRAULICOS DE C.A., S,A.","AV PETAPA 33-21 ZONA 12","2376-2000","","N/A","0","1","1","1","CAP","4"
"PRE-184","LIBRERIA BAUTISTA","12 CALLE 9-54 ZONA 1","2251-4516","","N/A","0","4","1","1","CAP","4"
"PRE-186","MULTIPRODUCTOS VETERINARIOS S,A.","CALLE DEL COMPLEJO DEPORTIVO 12-75 ZONA 1 JUTIAPA","7823-5104 / 78442396","","N/A","0","4","1","1","CAP","3"
"XCO-187","COFIÐO STAHL","ANILLO PERIFERICO 17AV 18-78  ZONA 11","2204-3012","","N/A","0","1","1","1","CAP","4"
"XCO-188","DISTRIBUIDORA CKLASS Y MAS","ATESCATEMPA, JUTIAPA","42994475","","N/A","0","1","1","1","CAP","3"
"GUA-189","TERMO GUATEMALA S,A.","BLV LOS PROCERES 24-69 ZONA 10, CIUDAD CAPITAL","2261-7085","","N/A","0","3","1","1","CAP","4"
"XCO-190","TERMO GUATEMALA, S,A.","BLV LOS PROCERES 24-69 ZONA 10, CIUDAD CAPITAL","2261-7085","","N/A","0","1","1","1","CAP","4"
"XCO-191","EL PORTAL DE LAS PRENDAS AMERICANAS S,A.","7AV ENTRE 1 Y 2 CALLE ZONA 1 CHIQUIMULA","7796-9754","","N/A","0","1","1","1","CAP","4"
